question,ground_truth,prediction,score,reasoning
What does the speaker say about tips and tricks for IELTS listening?,Tips and tricks do not work and only prolong your IELTS journey. :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1},"The speaker says that tips or tricks do not work for IELTS listening and are the best way to prolong your IELTS journey. 

Relevance score: 5",CORRECT,
How much English do most students actually listen to each week?,Very few students even listen for one hour per week. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3},"Most students actually listen to even less than one hour per week. 

Relevance score: 5",CORRECT,
What is 'active listening' according to the video?,"Focusing on one aspect at a time—e.g., writing down unfamiliar words and checking their spelling—to improve that specific skill. :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}","Active listening is when you focus on one thing at a time and do something while you're listening. It involves writing down words you're unsure of the spelling, checking them in a dictionary, and repeating the process to improve listening skills. 

Relevance score: 5",CORRECT,
Why must your spelling be 100% correct when transferring answers?,"Any single-letter mistake makes the answer wrong, so you must be very careful. :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7}","Your spelling must be 100% correct when transferring answers because even one letter out of place will be considered wrong. It doesn't matter if it's very close or just two letters the wrong way, it will be marked as incorrect. 

Relevance score: 5",CORRECT,
What is the purpose of keeping a notebook during practice?,"To record mistakes, spot patterns on review, and correct them over time. :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9}","The purpose of keeping a notebook during practice is to record your mistakes, review them, identify patterns, and correct them. 

Relevance score: 5",CORRECT,
"Besides listening, what other abilities does the listening test assess?","It also tests reading, thinking, spelling, grammar, and vocabulary. :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}","The listening test also assesses reading, thinking, spelling, grammar, and vocabulary abilities.

Relevance score: 5",CORRECT,
Why is improving vocabulary essential for reaching band 8?,"Without strong vocabulary, no strategy or tips will get you to near-native level. :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}","Improving vocabulary is essential for reaching band 8 because it is necessary to improve your level and there is no other way around it. 

Relevance score: 5",CORRECT,
What does the speaker recommend combining with daily listening?,Daily reading practice to reinforce vocabulary growth. :contentReference[oaicite:14]{index=14}:contentReference[oaicite:15]{index=15},"Daily reading practice. 

Relevance score: 5",CORRECT,
What does 'practicing strategically' mean?,Focusing on targeted strategies rather than simply doing endless practice tests to avoid wasting time. :contentReference[oaicite:16]{index=16}:contentReference[oaicite:17]{index=17},"Practicing strategically means not just doing lots of practice, but practicing in a way that is focused and efficient. 

Relevance score: 5",CORRECT,
Why have a strategy for each question type?,"So you automatically know what to do on test day, reducing cognitive load and boosting accuracy. :contentReference[oaicite:18]{index=18}:contentReference[oaicite:19]{index=19}","Having a strategy for each question type is important because it helps you know exactly what to do when you see different types of questions. This can improve your chances of getting the correct answer. 

Relevance score: 5",CORRECT,
What activity helps improve spelling through active listening?,"Writing down words you’re unsure of during listening, then checking and reviewing their spelling. :contentReference[oaicite:20]{index=20}:contentReference[oaicite:21]{index=21}","Writing down words you are unsure of the spelling of and checking the spelling in a dictionary. 

Relevance score: 5",CORRECT,
What does the speaker say about using translations to learn vocabulary?,"Translations waste time; you must learn word usage, collocations, and grammar in English. :contentReference[oaicite:22]{index=22}:contentReference[oaicite:23]{index=23}","Translation is not going to help you. It doesn't help you understand the meaning of the word, how the word is used in a sentence, the grammar, the collocations, the synonyms, the antonyms. It's really a waste of time.

Relevance score: 5",CORRECT,
When should you read the questions during the listening test?,"Before the recording starts, so you already have an idea of possible answers. :contentReference[oaicite:24]{index=24}:contentReference[oaicite:25]{index=25}","You should be reading the questions before the recording starts. 

Relevance score: 5",CORRECT,
Why listen to a range of accents?,"To get comfortable with different accents like Scottish or Canadian, as all can appear in the test. :contentReference[oaicite:26]{index=26}:contentReference[oaicite:27]{index=27}","Listening to a range of accents can help improve listening skills and familiarity with different accents. 

Relevance score: 5",CORRECT,
